Rank,Title,Ticker,Industry,Sector,HQ Location,Years on list,CEO,EPS,Employees,Revenues,Profits,Image URL,Website,geoCode
659,Targa Energy,,Pipelines,Energy,"Houston, TX",-,Joe Bob Perkins,-3.71,1152,3669,-192,,http://www.targaresources.com,TX
660,Oceaneering International,OII,"Oil and Gas Equipment, Services",Energy,"Houston, TX",-,M. Kevin McEvoy,4,12400,3660,428,,http://www.oceaneering.com,TX
661,Cabot,CBT,Chemicals,Chemicals,"Boston, MA",-,Patrick M. Prevost,3.03,4737,3652,199,,http://www.cabotcorp.com,MA
662,CIT Group,CIT,Commercial Banks,Financials,"New York, NY",-,John A. Thain,5.96,3360,3652,1130,,http://www.cit.com,NY
663,Cabela’s,CAB,Specialty Retailers: Other,Retailing,"Sidney, NE",-,Thomas L. Millner,2.81,19300,3648,202,,http://www.cabelas.com,NE
664,Forest Laboratories,,Pharmaceuticals,Health Care,"New York, NY",-,Brenton L. Saunders,0.61,6200,3647,165,,http://www.actavis.com,NY
665,DCP Midstream Partners,DPM,Pipelines,Energy,"Denver, CO",-,Wouter T. van Kempen,2.84,653,3642,423,,http://www.dcppartners.com,CO
666,Ryerson Holding,RYI,Metals,Materials,"Chicago, IL",-,Edward J. Lehner,-1.01,3650,3622,-26,,http://www.ryerson.com,IL
667,QEP Resources,QEP,"Mining, Crude-Oil Production",Energy,"Denver, CO",-,Charles B. Stanley,4.36,765,3617,784,,http://www.qepres.com,CO
668,Thor Industries,THO,Motor Vehicles and Parts,Motor Vehicles & Parts,"Elkhart, IN",-,Robert W. Martin,3.35,9400,3609,179,,http://www.thorindustries.com,IN
669,HSN,HSNI,Specialty Retailers: Other,Retailing,"St. Petersburg, FL",-,Mindy F. Grossman,3.23,6900,3588,173,,http://www.hsni.com,FL
670,Graham Holdings,GHC,Education,Business Services,"Arlington, VA",-,Timothy J. O’Shaughnessy,195.03,14500,3582,1294,,http://www.ghco.com,VA
671,Electronic Arts,EA,Computer Software,Technology,"Redwood City, CA",-,Andrew Wilson,0.03,8300,3575,8,,http://www.ea.com,CA
672,Boise Cascade,BCC,Wholesalers: Diversified,Wholesalers,"Boise, ID",-,Thomas K. Corrick,2.03,5650,3574,80,,http://www.bc.com,ID
673,Hub Group,HUBG,Transportation and Logistics,Transportation,"Oak Brook, IL",-,David P. Yeager,1.4,2568,3571,52,,http://www.hubgroup.com,IL
674,CACI International,CACI,Information Technology Services,Technology,"Arlington, VA",-,Kenneth Asbury,5.38,15300,3565,135,,http://www.caci.com,VA
675,Roper Technologies,ROP,"Scientific,Photographic and Control Equipment",Technology,"Sarasota, FL",-,Brian D. Jellison,6.4,10137,3550,646,,http://www.ropertech.com,FL
676,Towers Watson,TW,Diversified Outsourcing Services,Business Services,"Arlington, VA",-,John J. Haley,5.06,14800,3546,359,,http://www.towerswatson.com,VA
677,Smart & Final Stores,SFS,Food and Drug Stores,Food & Drug Stores,"Commerce, CA",-,David G. Hirz,0.52,9370,3534,33,,http://www.smartandfinal.com,CA
678,Big Heart Pet Brands,,Food Consumer Products,"Food, Beverages & Tobacco","San Francisco, CA",-,David J. West,-,2325,3521,-130,,http://www.bigheartpet.com,CA
679,Fossil Group,FOSL,Apparel,Apparel,"Richardson, TX",-,Kosta N. Kartsotis,7.1,15200,3510,377,,http://www.fossilgroup.com,TX
680,Nasdaq OMX Group,NDAQ,Securities,Financials,"New York, NY",-,Robert Greifeld,2.39,3687,3500,414,,http://www.nasdaqomx.com,NY
681,Country Financial,,Insurance: Property and Casualty (Mutual),Financials,"Bloomington, IL",-,Kurt F. Bock,-,3799,3498,250,,http://www.countryfinancial.com,IL
682,Snap-on,SNA,Industrial Machinery,Industrials,"Kenosha, WI",-,Nicholas T. Pinchuk,7.14,11400,3493,422,,http://www.snapon.com,WI
683,Pinnacle West Capital,PNW,Utilities: Gas and Electric,Energy,"Phoenix, AZ",-,Donald E. Brandt,3.58,6366,3492,398,,http://www.pinnaclewest.com,AZ
684,EchoStar,SATS,Network and Other Communications Equipment,Technology,"Englewood, CO",-,Michael T. Dugan,1.78,4400,3446,153,,http://www.echostar.com,CO
685,Systemax,SYX,Specialty Retailers: Other,Retailing,"Port Washington, NY",-,Richard Leeds,-1.01,5300,3443,-38,,http://www.systemax.com,NY
686,WhiteWave Foods,WWAV,Food Consumer Products,"Food, Beverages & Tobacco","Denver, CO",-,Gregg L. Engles,0.79,4500,3437,140,,http://www.whitewave.com,CO
687,CUNA Mutual Group,,"Insurance: Life, Health (stock)",Financials,"Madison, WI",-,Robert N. Trunzo,-,3800,3434,206,,http://www.cunamutual.com,WI
688,Cooper Tire & Rubber,CTB,Motor Vehicles and Parts,Motor Vehicles & Parts,"Findlay, OH",-,Roy V. Armes,3.42,8881,3425,214,,http://www.coopertire.com,OH
689,ADT,ADT,Diversified Outsourcing Services,Business Services,"Boca Raton, FL",-,Naren Gursahaney,1.66,17500,3408,304,,http://www.adt.com,FL
690,Cerner,CERN,Health Care: Pharmacy and Other Services,Health Care,"North Kansas City, MO",-,Neal L. Patterson,1.5,15800,3403,525,,http://www.cerner.com,MO
691,Clean Harbors,CLH,Waste Management,Business Services,"Norwell, MA",-,Alan S. McKim,-0.47,13000,3402,-28,,http://www.cleanharbors.com,MA
692,First Solar,FSLR,Energy,Energy,"Tempe, AZ",-,James A. Hughes,3.91,6060,3392,397,,http://www.firstsolar.com,AZ
693,Lennox International,LII,Industrial Machinery,Industrials,"Richardson, TX",-,Todd M. Bluedorn,4.23,9800,3367,206,,http://www.lennoxinternational.com,TX
694,Enable Midstream Partners,ENBL,Pipelines,Energy,"Oklahoma City, OK",-,Peter B. Delaney,1.29,1800,3367,530,,http://www.enablemidstream.com,OK
695,Hubbell,HUBB,"Electronics, Electrical Equip.",Industrials,"Shelton, CT",-,David G. Nord,5.48,15400,3359,325,,http://www.hubbell.com,CT
696,Unisys,UIS,Information Technology Services,Technology,"Blue Bell, PA",-,Peter A. Altabef,0.89,23200,3356,47,,http://www.unisys.com,PA
697,Alliant Energy,LNT,Utilities: Gas and Electric,Energy,"Madison, WI",-,Patricia L. Kampling,3.46,4212,3350,383,,http://www.alliantenergy.com,WI
698,Welltower,HCN,Real estate,Financials,"Toledo, OH",-,Thomas J. DeRosa,1.45,428,3344,512,,http://www.welltower.com,OH
699,Moody’s,MCO,Diversified Financials,Financials,"New York, NY",-,Raymond W. McDaniel Jr.,4.61,9900,3334,989,,http://www.moodys.com,NY
700,C.R. Bard,BCR,Medical Products and Equipment,Health Care,"Murray Hill, NJ",-,Timothy M. Ring,3.76,13900,3324,295,,http://www.crbard.com,NJ
701,Urban Outfitters,URBN,Specialty Retailers: Apparel,Retailing,"Philadelphia, PA",-,Richard A. Hayne,1.68,16440,3323,232,,http://www.urbanoutfittersinc.com,PA
702,Church & Dwight,CHD,Household and Personal Products,Household Products,"Ewing, NJ",-,Matthew T. Farrell,3.01,4145,3298,414,,http://www.churchdwight.com,NJ
703,American Eagle Outfitters,AEO,Specialty Retailers: Apparel,Retailing,"Pittsburgh, PA",-,Jay L. Schottenstein,0.42,22500,3283,80,,http://www.ae.com,PA
704,Oaktree Capital Group,OAK,Securities,Financials,"Los Angeles, CA",-,Jay S. Wintrob,2.97,927,3272,126,,http://www.oaktreecapital.com,CA
705,Regal Beloit,RBC,"Electronics, Electrical Equip.",Industrials,"Beloit, WI",-,Mark J. Gliebe,0.69,24100,3257,31,,http://www.regalbeloit.com,WI
706,Men’s Wearhouse,MW,Specialty Retailers: Apparel,Retailing,"Houston, TX",-,Douglas S. Ewert,-0.01,22350,3253,-,,http://www.menswearhouse.com,TX
707,Cooper-Standard Holdings,CPS,Motor Vehicles and Parts,Motor Vehicles & Parts,"Novi, MI",-,Jeffrey S. Edwards,2.39,27000,3244,43,,http://www.cooperstandard.com,MI
708,W.R. Grace,GRA,Chemicals,Chemicals,"Columbia, MD",-,Alfred E. Festa,3.63,6500,3243,276,,http://www.grace.com,MD
709,Ulta Salon Cosmetics & Fragrance,ULTA,Specialty Retailers: Other,Retailing,"Bolingbrook, IL",-,Mary N. Dillon,3.98,15250,3241,257,,http://www.ulta.com,IL
710,Hawaiian Electric Industries,HE,Utilities: Gas and Electric,Energy,"Honolulu, HI",-,Constance H. Lau,1.64,3965,3240,168,,http://www.hei.com,HI
711,SkyWest,SKYW,Airlines,Transportation,"St. George, UT",-,Russell A. Childs,-0.47,18500,3237,-24,,http://www.skywest.com,UT
712,Green Plains,GPRE,Energy,Energy,"Omaha, NE",-,Todd A. Becker,3.96,840,3236,160,,http://www.gpreinc.com,NE
713,LVB Acquisition,,Medical Products and Equipment,Health Care,"Warsaw, IN",-,Jeffrey R. Binder,-,9279,3223,76,,http://www.biomet.com,IN
714,NBTY,,Pharmaceuticals,Health Care,"Ronkonkoma, NY",-,Steven A. Cahillane,-,13500,3206,-44,,http://www.nbty.com,NY
715,Carlisle,CSL,"Building Materials, Glass",Materials,"Charlotte, NC",-,Christian Koch,3.82,11000,3204,251,,http://www.carlisle.com,NC
716,United Refining,,Petroleum Refining,Energy,"Warren, PA",-,John A. Catsimatidis,-,3051,3201,71,,http://www.urc.com,PA
717,Tesla Motors,TSLA,Motor Vehicles and Parts,Motor Vehicles & Parts,"Palo Alto, CA",-,Elon Musk,-2.36,10161,3198,-294,,http://www.teslamotors.com,CA
718,Groupon,GRPN,Internet Services and Retailing,Technology,"Chicago, IL",-,Rich Williams,-0.11,11843,3192,-73,,http://www.groupon.com,IL
719,Landstar System,LSTR,"Trucking, Truck Leasing",Transportation,"Jacksonville, FL",-,James B. Gattoni,3.07,1211,3185,139,,http://www.landstar.com,FL
720,Patterson-UTI Energy,PTEN,"Oil and Gas Equipment, Services",Energy,"Houston, TX",-,William A. Hendricks Jr.,1.11,7900,3182,163,,http://www.patenergy.com,TX
721,EP Energy,EPE,"Mining, Crude-Oil Production",Energy,"Houston, TX",-,Brent J. Smolik,3.02,748,3166,731,,http://www.epenergy.com,TX
722,ON Semiconductor,ON,Semiconductors and Other Electronic Components,Technology,"Phoenix, AZ",-,Keith D. Jackson,0.43,24500,3162,190,,http://www.onsemi.com,AZ
723,Rent-A-Center,RCII,Specialty Retailers: Other,Retailing,"Plano, TX",-,Robert D. Davis,1.81,22200,3158,96,,http://www.rentacenter.com,TX
724,SunGard Data Systems,,Financial Data Services,Business Services,"Wayne, PA",-,Russell P. Fradin,-,13000,3147,-224,,http://www.sungard.com,PA
725,Citrix Systems,CTXS,Network and Other Communications Equipment,Technology,"Fort Lauderdale, FL",-,Robert M. Calderoni,1.47,10081,3143,252,,http://www.citrix.com,FL
726,Amkor Technology,AMKR,Semiconductors and Other Electronic Components,Technology,"Tempe, AZ",-,Stephen D. Kelley,0.55,21900,3129,130,,http://www.amkor.com,AZ
727,TD Ameritrade Holding,AMTD,Securities,Financials,"Omaha, NE",-,Fredric J. Tomczyk,1.42,5771,3129,787,,http://www.amtd.com,NE
728,Worthington Industries,WOR,Metals,Materials,"Columbus, OH",-,John P. McConnell,2.11,7000,3126,151,,http://www.worthingtonindustries.com,OH
729,Valmont Industries,VMI,Construction and Farm Machinery,Industrials,"Omaha, NE",-,Mogens C. Bay,7.09,11321,3123,184,,http://www.valmont.com,NE
730,Iron Mountain,IRM,Diversified Outsourcing Services,Business Services,"Boston, MA",-,William L. Meaney,1.66,20000,3118,326,,http://www.ironmountain.com,MA
731,Puget Energy,,Utilities: Gas and Electric,Energy,"Bellevue, WA",-,Kimberly J. Harris,-,2700,3113,172,,http://www.pugetenergy.com,WA
732,CME Group,CME,Securities,Financials,"Chicago, IL",-,Phupinder S. Gill,3.35,2680,3113,1127,,http://www.cmegroup.com,IL
733,IAC/InterActiveCorp,IACI,Internet Services and Retailing,Technology,"New York, NY",-,Joseph Levin,4.68,5000,3110,415,,http://www.iac.com,NY
734,Par Pacific Holdings,PARR,Petroleum Refining,Energy,"Houston, TX",-,William C. Pate,-1.44,577,3108,-47,,http://www.parpacific.com/,TX
735,Taylor Morrison Home,TMHC,Homebuilders,Engineering & Construction,"Scottsdale, AZ",-,Sheryl D. Palmer,2.17,1498,3104,72,,http://www.taylormorrison.com,AZ
736,Chiquita Brands International,,Food Production,"Food, Beverages & Tobacco","Charlotte, NC",-,Darcilo Santos,-1.33,20000,3090,-63,,http://www.chiquita.com,NC
737,International Flavors & Fragrances,IFF,Chemicals,Chemicals,"New York, NY",-,Andreas Fibig,5.06,6211,3089,415,,http://www.iff.com,NY
738,Whiting Petroleum,WLL,"Mining, Crude-Oil Production",Energy,"Denver, CO",-,James J. Volker,0.53,1282,3085,65,,http://www.whiting.com,CO
739,Under Armour,UA,Apparel,Apparel,"Baltimore, MD",-,Kevin A. Plank,0.95,7500,3084,208,,http://www.uabiz.com,MD
740,Ventas,VTR,Real estate,Financials,"Chicago, IL",-,Debra A. Cafaro,1.6,479,3081,476,,http://www.ventasreit.com,IL
741,NuStar Energy,NS,Pipelines,Energy,"San Antonio, TX",-,Bradley C. Barron,2.1,1624,3079,211,,http://www.nustarenergy.com,TX
742,Select Medical Holdings,SEM,Health Care: Medical Facilities,Health Care,"Mechanicsburg, PA",-,David S. Chernow,0.91,26400,3065,121,,http://www.selectmedicalholdings.com,PA
743,Diebold,DBD,"Computers, Office Equipment",Technology,"North Canton, OH",-,Andreas W. Mattes,1.76,16000,3051,114,,http://www.diebold.com,OH
744,American National Insurance,ANAT,"Insurance: Life, Health (stock)",Financials,"Galveston, TX",-,James E. Pozzi,9.18,3138,3051,247,,http://www.anico.com,TX
745,Varian Medical Systems,VAR,Medical Products and Equipment,Health Care,"Palo Alto, CA",-,Dow R. Wilson,3.83,6800,3050,404,,http://www.varian.com,CA
746,Apollo Education Group,APOL,Education,Business Services,"Phoenix, AZ",-,Gregory W. Cappelli,1.86,26000,3047,209,,http://www.apollogrp.edu,AZ
747,Westinghouse Air Brake Technologies,WAB,Industrial Machinery,Industrials,"Wilmerding, PA",-,Raymond T. Betler,3.62,12600,3045,352,,http://www.wabtec.com,PA
748,SunPower,SPWR,Energy,Energy,"San Jose, CA",-,Thomas H. Werner,1.55,7188,3027,246,,http://www.sunpower.com,CA
749,Warner Music Group,,Entertainment,Media,"New York, NY",-,Stephen F. Cooper,-,4180,3027,-308,,http://www.wmg.com,NY
750,American Water Works,AWK,zMiscellaneous,Energy,"Voorhees, NJ",-,Susan N. Story,2.35,6400,3025,423,,http://www.amwater.com,NJ
751,H&R Block,HRB,Diversified Financials,Financials,"Kansas City, MO",-,William C. Cobb,1.72,45100,3024,475,,http://www.hrblock.com,MO
752,Mercury General,MCY,Insurance: Property and Casualty (Stock),Financials,"Los Angeles, CA",-,Gabriel Tirador,3.23,4400,3012,178,,http://www.mercuryinsurance.com,CA
753,TECO Energy,TE,Utilities: Gas and Electric,Energy,"Tampa, FL",-,John B. Ramil,0.58,4400,3010,130,,http://www.tecoenergy.com,FL
754,Service Corp. International,SCI,zMiscellaneous,Business Services,"Houston, TX",-,Thomas L. Ryan,0.81,19552,2996,173,,http://www.sci-corp.com,TX
755,Vulcan Materials,VMC,"Building Materials, Glass",Materials,"Birmingham, AL",-,J. Thomas Hill,1.54,6941,2994,205,,http://www.vulcanmaterials.com,AL
756,Brown-Forman,BFB,Beverages,"Food, Beverages & Tobacco","Louisville, KY",-,Paul C. Varga,3.06,4100,2991,659,,http://www.brown-forman.com,KY
757,Regal Entertainment Group,RGC,Entertainment,Media,"Knoxville, TN",-,Amy E. Miles,0.68,23168,2990,106,,http://www.regmovies.com,TN
758,Tempur Sealy International,TPX,"Home Equipment, Furnishings",Household Products,"Lexington, KY",-,Scott L. Thompson,1.75,7100,2990,109,,http://www.tempursealy.com,KY
759,Steelcase,SCS,"Home Equipment, Furnishings",Household Products,"Grand Rapids, MI",-,James P. Keane,0.69,11500,2989,88,,http://www.steelcase.com,MI
760,MWI Veterinary Supply,,Wholesalers: Diversified,Wholesalers,"Boise, ID",-,James F. Cleary Jr.,5.65,2121,2981,72,,http://www.mwivet.com,ID
761,RS Legacy,RSHCQ,Specialty Retailers: Other,Retailing,"Fort Worth, TX",-,Ronald Garriques,-5.82,27500,2977,-592,,http://www.radioshackcorporation.com,TX
762,Sprouts Farmers Market,SFM,Food and Drug Stores,Food & Drug Stores,"Phoenix, AZ",-,Amin N. Maredia,0.7,17000,2967,108,,http://www.sprouts.com,AZ
763,Sabre,SABR,Internet Services and Retailing,Technology,"Southlake, TX",-,Thomas Klein,0.23,8000,2960,69,,http://www.sabre.com,TX
764,Martin Marietta Materials,MLM,"Building Materials, Glass",Materials,"Raleigh, NC",-,C. Howard Nye,2.71,7193,2958,156,,http://www.martinmarietta.com,NC
765,Huntington Bancshares,HBAN,Commercial Banks,Financials,"Columbus, OH",-,Stephen D. Steinour,0.72,11873,2956,632,,http://www.huntington.com,OH
766,Alere,ALR,Medical Products and Equipment,Health Care,"Waltham, MA",-,Namal Nawana,-0.14,9800,2946,10,,http://www.alere.com,MA
767,TreeHouse Foods,THS,Food Consumer Products,"Food, Beverages & Tobacco","Oak Brook, IL",-,Sam K. Reed,2.23,6181,2946,90,,http://www.treehousefoods.com,IL
768,Arch Coal,ACI,"Mining, Crude-Oil Production",Energy,"St. Louis, MO",-,John W. Eaves,-2.63,5000,2937,-558,,http://www.archcoal.com,MO
769,KLA-Tencor,KLAC,Semiconductors and Other Electronic Components,Technology,"Milpitas, CA",-,Richard P. Wallace,3.47,6060,2929,583,,http://www.kla-tencor.com,CA
770,Crane,CR,Industrial Machinery,Industrials,"Stamford, CT",-,Max H. Mitchell,3.23,11300,2925,193,,http://www.craneco.com,CT
771,Iasis Healthcare,,Health Care: Medical Facilities,Health Care,"Franklin, TN",-,W. Carl Whitmer,-,11650,2923,-2,,http://www.iasishealthcare.com,TN
772,BWX Technologies,BWXT,Industrial Machinery,Industrials,"Charlotte, NC",-,Peyton S. Baker,0.27,11000,2923,29,,http://www.bwxt.com,NC
773,Dentsply International,XRAY,Medical Products and Equipment,Health Care,"York, PA",-,Bret W. Wise,2.24,11600,2923,323,,http://www.dentsply.com,PA
774,Tribune Media,TRCO,Entertainment,Media,"Chicago, IL",-,Peter M. Liguori,4.75,7600,2920,477,,http://www.tribunemedia.com,IL
775,ScanSource,SCSC,Wholesalers: Electronics and Office Equipment,Wholesalers,"Greenville, SC",-,Michael L. Baur,2.86,1500,2914,82,,http://www.scansource.com,SC
776,Univision Communications,,Entertainment,Media,"New York, NY",-,Randel A. Falco,-,4300,2911,11,,http://corporate.univision.com,NY
777,Brinker International,EAT,Food Services,"Hotels, Resturants & Leisure","Dallas, TX",-,Wyman T. Roberts,2.26,55586,2906,154,,http://www.brinker.com,TX
778,Archrock,AROC,"Oil and Gas Equipment, Services",Energy,"Houston, TX",-,D. Bradley Childers,1.4,10000,2900,98,,http://www.archrock.com/,TX
779,Carter’s,CRI,Apparel,Apparel,"Atlanta, GA",-,Michael D. Casey,3.62,11565,2894,195,,http://www.carters.com,GA
780,Analog Devices,ADI,Semiconductors and Other Electronic Components,Technology,"Norwood, MA",-,Vincent T. Roche,1.98,9600,2865,629,,http://www.analog.com,MA
781,Genesco,GCO,Specialty Retailers: Apparel,Retailing,"Nashville, TN",-,Robert J. Dennis,4.12,18663,2860,98,,http://www.genesco.com,TN
782,Scotts Miracle-Gro,SMG,Chemicals,Chemicals,"Marysville, OH",-,James Hagedorn,2.65,6700,2859,167,,http://www.scotts.com,OH
783,Convergys,CVG,Diversified Outsourcing Services,Business Services,"Cincinnati, OH",-,Andrea J. Ayers,1.13,125000,2856,120,,http://www.convergys.com,OH
784,Exide Technologies,,Motor Vehicles and Parts,Motor Vehicles & Parts,"Milton, GA",-,Robert M. Caruso,-2.8,8986,2855,-218,,http://www.exide.com,GA
785,WABCO Holdings,WBC,Motor Vehicles and Parts,Motor Vehicles & Parts,"Rochester Hills, MI",-,Jacques Esculier,4.81,11409,2851,292,,http://www.wabco-auto.com,MI
786,Kennametal,KMT,Industrial Machinery,Industrials,"Latrobe, PA",-,Donald A. Nolan,1.99,13521,2837,158,,http://www.kennametal.com,PA
787,Amerco,UHAL,"Trucking, Truck Leasing",Transportation,"Reno, NV",-,Edward J. Shoen,17.51,17618,2835,342,,http://www.amerco.com,NV
788,Bon-Ton Stores,BONT,General Merchandisers,Retailing,"York, PA",-,Kathryn J. Bufano,-0.36,25700,2823,-7,,http://www.bonton.com,PA
789,Team Health Holdings,TMH,Health Care: Pharmacy and Other Services,Health Care,"Knoxville, TN",-,Michael D. Snow,1.35,13200,2820,98,,http://www.teamhealth.com,TN
790,Regeneron Pharmaceuticals,REGN,Pharmaceuticals,Health Care,"Tarrytown, NY",-,Leonard S. Schleifer,3.07,2925,2820,348,,http://www.regeneron.com,NY
791,OneMain Holdings,LEAF,Diversified Financials,Financials,"Evansville, IN",-,Jay N. Levine,4.38,5030,2814,505,,http://www.archrock.com,IN
792,Lincoln Electric Holdings,LECO,Industrial Machinery,Industrials,"Cleveland, OH",-,Christopher L. Mapes,3.18,10000,2813,255,,http://www.lincolnelectric.com,OH
793,Dresser-Rand Group,DRC,Industrial Machinery,Industrials,"Houston, TX",-,Vincent R. Volpe Jr.,1.59,7900,2812,123,,http://www.dresser-rand.com,TX
794,West,WSTC,Diversified Outsourcing Services,Business Services,"Omaha, NE",-,Thomas B. Barker,1.85,35000,2805,158,,http://www.west.com,NE
795,Benchmark Electronics,BHE,Semiconductors and Other Electronic Components,Technology,"Angleton, TX",-,Gayla J. Delly,1.52,10940,2797,82,,http://www.bench.com,TX
796,Pall,PLL,Industrial Machinery,Industrials,"Port Washington, NY",-,Lawrence D. Kingsley,3.25,10400,2789,364,,http://www.pall.com,NY
797,Old Dominion Freight Line,ODFL,"Trucking, Truck Leasing",Transportation,"Thomasville, NC",-,David S. Congdon,3.1,16443,2788,268,,http://www.odfl.com,NC
798,MSC Industrial Direct,MSM,Wholesalers: Diversified,Wholesalers,"Melville, NY",-,Erik Gershwind,3.76,6521,2787,236,,http://www.mscdirect.com,NY
799,Sentry Insurance Group,,Insurance: Property and Casualty (Mutual),Financials,"Stevens Point, WI",-,Peter G. McPartland,-,4043,2786,307,,http://www.sentry.com,WI
800,Sigma-Aldrich,SIAL,Chemicals,Chemicals,"St. Louis, MO",-,Rakesh Sachdev,4.17,9300,2785,500,,http://www.sigma-aldrich.com,MO
801,WGL Holdings,WGL,Energy,Energy,"Washington, DC",-,Terry D. McCallister,2.05,1444,2781,106,,http://www.wglholdings.com,DC
802,Weis Markets,WMK,Food and Drug Stores,Food & Drug Stores,"Sunbury, PA",-,Jonathan H. Weis,2.05,18200,2777,55,,http://www.weismarkets.com,PA
803,Sanderson Farms,SAFM,Food Production,"Food, Beverages & Tobacco","Laurel, MS",-,Joe F. Sanderson Jr.,10.8,11461,2775,249,,http://www.sandersonfarms.com,MS
804,StanCorp Financial Group,SFG,"Insurance: Life, Health (stock)",Financials,"Portland, OR",-,J. Gregory Ness,5.05,2803,2770,219,,http://www.stancorpfinancial.com,OR
805,Hyster-Yale Materials Handling,HY,Industrial Machinery,Industrials,"Cleveland, OH",-,Alfred M. Rankin Jr.,6.58,5400,2767,110,,http://www.hyster-yale.com,OH
806,Wolverine World Wide,WWW,Apparel,Apparel,"Rockford, MI",-,Blake W. Krueger,1.3,6600,2761,133,,http://www.wolverineworldwide.com,MI
807,DST Systems,DST,Financial Data Services,Business Services,"Kansas City, MO",-,Stephen C. Hooley,14.66,12925,2749,593,,http://www.dstsystems.com,MO
808,Legg Mason,LM,Securities,Financials,"Baltimore, MD",-,Joseph A. Sullivan,2.33,2843,2742,285,,http://www.leggmason.com,MD
809,Teradata,TDC,Computer Software,Technology,"Dayton, OH",-,Michael F. Koehler,2.33,11500,2732,367,,http://www.teradata.com,OH
810,Aaron’s,AAN,Specialty Retailers: Other,Retailing,"Atlanta, GA",-,John W. Robinson III,1.08,12400,2725,78,,http://www.aarons.com,GA
811,Antero Resources,AR,"Mining, Crude-Oil Production",Energy,"Denver, CO",-,Paul M. Rady,2.57,444,2721,674,,http://www.anteroresources.com,CO
812,Metaldyne Performance Group,MPG,Motor Vehicles and Parts,Motor Vehicles & Parts,"Plymouth, MI",-,George P. Thanopoulos,1.06,12000,2717,73,,http://www.mpgdriven.com,MI
813,Range Resources,RRC,"Mining, Crude-Oil Production",Energy,"Fort Worth, TX",-,Jeffrey L. Ventura,3.79,990,2712,634,,http://www.rangeresources.com,TX
814,Vornado Realty Trust,VNO,Real estate,Financials,"New York, NY",-,Steven Roth,4.15,4503,2707,865,,http://www.vno.com,NY
815,Boyd Gaming,BYD,"Hotels, Casinos, Resorts","Hotels, Resturants & Leisure","Las Vegas, NV",-,Keith E. Smith,-0.48,18290,2701,-53,,http://www.boydgaming.com,NV
816,Covance,,Health Care: Pharmacy and Other Services,Health Care,"Princeton, NJ",-,Joseph L. Herring,3.23,12500,2700,186,,http://www.labcorp.com,NJ
817,Armstrong World Industries,AWI,"Building Materials, Glass",Materials,"Lancaster, PA",-,Matthew J. Espe,1.14,8300,2691,64,,http://www.armstrong.com,PA
818,Cracker Barrel Old Country Store,CBRL,Food Services,"Hotels, Resturants & Leisure","Lebanon, TN",-,Sandra B. Cochran,5.51,72000,2684,132,,http://www.crackerbarrel.com,TN
819,Chico’s FAS,CHS,Specialty Retailers: Apparel,Retailing,"Fort Myers, FL",-,Shelley G. Broader,0.42,15470,2675,65,,http://www.chicosfas.com,FL
820,Scripps Networks Interactive,SNI,Entertainment,Media,"Knoxville, TN",-,Kenneth W. Lowe,3.83,2100,2666,545,,http://www.scrippsnetworksinteractive.com,TN
821,Universal Forest Products,UFPI,Forest and Paper Products,Materials,"Grand Rapids, MI",-,Matthew J. Missad,2.86,6000,2660,58,,http://www.ufpi.com,MI
822,Concho Resources,CXO,"Mining, Crude-Oil Production",Energy,"Midland, TX",-,Timothy A. Leach,4.88,1022,2660,538,,http://www.concho.com,TX
823,ITT,ITT,Industrial Machinery,Industrials,"White Plains, NY",-,Denise L. Ramos,1.99,9400,2655,185,,http://www.itt.com,NY
824,HCC Insurance Holdings,,Insurance: Property and Casualty (Stock),Financials,"Houston, TX",-,Christopher J.B. Williams,4.61,1983,2653,458,,http://www.hcc.com,TX
825,Moog,MOGA,Aerospace and Defense,Aerospace & Defense,"East Aurora, NY",-,John R. Scannell,3.52,11031,2648,158,,http://www.moog.com,NY
826,IMS Health Holdings,IMS,Health Care: Pharmacy and Other Services,Health Care,"Danbury, CT",-,Ari Bousbib,-0.59,10200,2641,-189,,http://www.imshealth.com,CT
827,Cinemark Holdings,CNK,Entertainment,Media,"Plano, TX",-,Mark Zoradi,1.66,15265,2627,193,,http://www.cinemark.com,TX
828,Comerica,CMA,Commercial Banks,Financials,"Dallas, TX",-,Ralph W. Babb Jr.,3.16,8807,2618,593,,http://www.comerica.com,TX
829,Equity Residential,EQR,Real estate,Financials,"Chicago, IL",-,David J. Neithercut,1.73,3500,2616,631,,http://www.equityresidential.com,IL
830,Ryland Group,RYL,Homebuilders,Engineering & Construction,"Westlake Village, CA",-,Larry T. Nicholson,3.09,1502,2615,176,,http://www.ryland.com,CA
831,GNC Holdings,GNC,Food and Drug Stores,Food & Drug Stores,"Pittsburgh, PA",-,Michael G. Archbold,2.81,11350,2613,256,,http://www.gnc.com,PA
832,ArcBest,ARCB,"Trucking, Truck Leasing",Transportation,"Fort Smith, AR",-,Judy R. McReynolds,1.69,13238,2613,46,,http://www.arcb.com,AR
833,Vectren,VVC,Utilities: Gas and Electric,Energy,"Evansville, IN",-,Carl L. Chapman,2.02,5500,2612,167,,http://www.vectren.com,IN
834,Curtiss-Wright,CW,Aerospace and Defense,Aerospace & Defense,"Charlotte, NC",-,David C. Adams,2.31,9000,2607,113,,http://www.curtisswright.com,NC
