Rank,Title,Ticker,Industry,Sector,HQ Location,Years on list,CEO,EPS,Employees,Revenues,Profits,Image URL,Website,geoCode
125,Alcoa,AA,Metals,Materials,"New York, NY",21,Klaus Kleinfeld,0.21,59000,23906,268,https://fortunedotcom.files.wordpress.com/2015/05/alcoa.jpg?quality=80&w=840&h=485&crop=1,http://www.alcoa.com,NY
126,Capital One Financial,COF,Commercial Banks,Financials,"McLean, VA",16,Richard D. Fairbank,7.59,46000,23877,4428,https://fortunedotcom.files.wordpress.com/2015/05/452111690.jpg?quality=80&w=840&h=485&crop=1,http://www.capitalone.com,VA
127,National Oilwell Varco,NOV,"Oil and Gas Equipment, Services",Energy,"Houston, TX",10,Clay C. Williams,5.82,59091,23141,2502,https://fortunedotcom.files.wordpress.com/2015/06/national-oilwell-varco.jpg?quality=80&w=462&h=263&crop=1,http://www.nov.com,TX
128,US Foods,,Wholesalers: Food and Grocery,Wholesalers,"Rosemont, IL",4,Pietro Satriano,-,25000,23020,-73,https://fortunedotcom.files.wordpress.com/2015/05/us-foods.jpg?quality=80&w=462&h=260&crop=1,http://www.usfoods.com,IL
129,Raytheon,RTN,Aerospace and Defense,Aerospace & Defense,"Waltham, MA",21,Thomas A. Kennedy,7.18,61000,22826,2244,https://fortunedotcom.files.wordpress.com/2015/05/raytheon.jpg?quality=80&w=462&h=263&crop=1,http://www.raytheon.com,MA
130,Time Warner Cable,TWC,Telecommunications,Telecommunications,"New York, NY",6,Robert D. Marcus,7.17,54615,22812,2031,https://fortunedotcom.files.wordpress.com/2015/05/rtx18s33.jpg?quality=80&w=840&h=485&crop=1,http://www.twc.com,NY
131,Arrow Electronics,ARW,Wholesalers: Electronics and Office Equipment,Wholesalers,"Centennial, CO",21,Michael J. Long,4.98,17000,22769,498,https://fortunedotcom.files.wordpress.com/2015/06/arrow-electronics.jpg?quality=80&w=462&h=263&crop=1,http://www.arrow.com,CO
132,Aflac,AFL,"Insurance: Life, Health (stock)",Financials,"Columbus, GA",21,Daniel P. Amos,6.5,9525,22728,2951,https://fortunedotcom.files.wordpress.com/2015/05/ap938456026652.jpg?quality=80&w=840&h=485&crop=1,http://www.aflac.com,GA
133,Staples,SPLS,Specialty Retailers: Other,Retailing,"Framingham, MA",20,Ronald L. Sargent,0.21,61738,22492,135,https://fortunedotcom.files.wordpress.com/2015/05/staples.jpg?quality=80&w=840&h=485&crop=1,http://www.staples.com,MA
134,Abbott Laboratories,ABT,Medical Products and Equipment,Health Care,"Abbott Park, IL",21,Miles D. White,1.49,77000,22323,2284,https://fortunedotcom.files.wordpress.com/2015/05/abbott-laboratories.jpg?quality=80&w=462&h=260&crop=1,http://www.abbott.com,IL
135,Community Health Systems,CYH,Health Care: Medical Facilities,Health Care,"Franklin, TN",9,Wayne T. Smith,0.82,119000,21987,92,https://fortunedotcom.files.wordpress.com/2015/06/community-health-systems.jpg?quality=80&w=462&h=260&crop=1,http://www.chs.net,TN
136,Fluor,FLR,"Engineering, Construction",Engineering & Construction,"Irving, TX",14,David T. Seaton,3.2,37508,21532,511,https://fortunedotcom.files.wordpress.com/2015/06/fluor.jpg?quality=80&w=462&h=263&crop=1,http://www.fluor.com,TX
137,Freeport-McMoRan,FCX,"Mining, Crude-Oil Production",Energy,"Phoenix, AZ",10,Richard C. Adkerson,-1.26,35000,21438,-1308,https://fortunedotcom.files.wordpress.com/2015/06/freeport-mcmoran.jpg?quality=80&w=462&h=263&crop=1,http://www.fcx.com,AZ
138,U.S. Bancorp,USB,Commercial Banks,Financials,"Minneapolis, MN",17,Richard K. Davis,3.08,66750,21392,5851,https://fortunedotcom.files.wordpress.com/2015/05/rtr350rz.jpg?quality=80&w=840&h=485&crop=1,http://www.usbank.com,MN
139,Nucor,NUE,Metals,Materials,"Charlotte, NC",21,John J. Ferriola,2.22,23600,21105,714,https://fortunedotcom.files.wordpress.com/2015/05/532878715.jpg?quality=80&w=840&h=485&crop=1,http://www.nucor.com,NC
140,Kimberly-Clark,KMB,Household and Personal Products,Household Products,"Irving, TX",21,Thomas J. Falk,4.04,43000,21044,1526,https://fortunedotcom.files.wordpress.com/2015/05/485358149.jpg?quality=80&w=840&h=485&crop=1,http://www.kimberly-clark.com,TX
141,Hess,HES,Petroleum Refining,Energy,"New York, NY",21,John B. Hess,7.53,3045,21015,2317,https://fortunedotcom.files.wordpress.com/2015/05/4929333511.jpg?quality=80&w=840&h=485&crop=1,http://www.hess.com,NY
142,Chesapeake Energy,CHK,"Mining, Crude-Oil Production",Energy,"Oklahoma City, OK",10,Robert D. Lawler,1.87,5500,20951,1917,https://fortunedotcom.files.wordpress.com/2015/06/chespeake-energy.jpg?quality=80&w=462&h=263&crop=1,http://www.chk.com,OK
143,Xerox,XRX,Information Technology Services,Technology,"Norwalk, CT",21,Ursula M. Burns,0.81,147500,20905,969,https://fortunedotcom.files.wordpress.com/2015/05/137777046.jpg?quality=80&w=840&h=485&crop=1,http://www.xerox.com,CT
144,ManpowerGroup,MAN,Temporary Help,Business Services,"Milwaukee, WI",21,Jonas Prising,5.3,26000,20763,428,https://fortunedotcom.files.wordpress.com/2015/06/manpower-group.jpg?quality=80&w=462&h=263&crop=1,http://www.manpowergroup.com,WI
145,Amgen,AMGN,Pharmaceuticals,Health Care,"Thousand Oaks, CA",16,Robert A. Bradway,6.7,17900,20063,5158,https://fortunedotcom.files.wordpress.com/2015/06/amgen.jpg?quality=80&w=462&h=260&crop=1,http://www.amgen.com,CA
146,AbbVie,ABBV,Pharmaceuticals,Health Care,"North Chicago, IL",2,Richard A. Gonzalez,1.1,26000,19960,1774,https://fortunedotcom.files.wordpress.com/2015/06/abbvie.jpg?quality=80&w=462&h=263&crop=1,http://www.abbvie.com,IL
147,Danaher,DHR,"Scientific,Photographic and Control Equipment",Technology,"Washington, DC",17,Thomas P. Joyce Jr.,3.63,71000,19914,2598,https://fortunedotcom.files.wordpress.com/2015/06/danaher.jpg?quality=80&w=462&h=260&crop=1,http://www.danaher.com,DC
148,Whirlpool,WHR,"Electronics, Electrical Equip.",Industrials,"Benton Harbor, MI",21,Jeff M. Fettig,8.17,-,19872,650,https://fortunedotcom.files.wordpress.com/2015/06/whirlpool.jpg?quality=80&w=462&h=260&crop=1,http://www.whirlpoolcorp.com,MI
149,PBF Energy,PBF,Petroleum Refining,Energy,"Parsippany, NJ",3,Thomas J. Nimbley,-0.51,1714,19828,-38,https://fortunedotcom.files.wordpress.com/2015/05/pbf-energy.jpg?quality=80&w=462&h=263&crop=1,http://www.pbfenergy.com,NJ
150,HollyFrontier,HFC,Petroleum Refining,Energy,"Dallas, TX",8,George J. Damiris,1.42,2686,19764,281,https://fortunedotcom.files.wordpress.com/2015/05/hollyfrontier.jpg?quality=80&w=462&h=260&crop=1,http://www.hollyfrontier.com,TX
151,Eli Lilly,LLY,Pharmaceuticals,Health Care,"Indianapolis, IN",21,John C. Lechleiter,2.23,39135,19616,2391,https://fortunedotcom.files.wordpress.com/2015/06/eli-lilly.jpg?quality=80&w=462&h=263&crop=1,http://www.lilly.com,IN
